tweet,hate_probability,true_label,human_label,category,rationale,confidence
@kieffer_jason @zach_smith98 @NathannDevlin so why the fuck are still talking shit. You acting like a pussy ass nigga,0.5000144998057346,1,,,,
"""@poppunksucks: Twitter is not a source of news broadcast you fucking retards"" it is when nbc, abc, cnn, Fox, etc are all keeping quiet.",0.49954440661703026,0,,,,
Shoot out wit yo niccas you da type to throw da Pistol &#128588;,0.5005631629069635,0,,,,
"Fuck you, hoe ass nigga RT@UberFacts The white-fronted parrot is the only other species besides humans that French kiss as a prelude to sex.",0.5008004293402707,0,,,,
@kittygurl9714 I highly doubt you're a real woman. You're prolly a fat ass man. Who fuckin cares?!? Let me do me ho,0.500932413318118,0,,,,
@anandpradhan @kavita_krishnan funny to read retard liberal tweets. But Anand u didn't delete salwar tweet. Anyway say hi to #DigVijaySingh,0.4988238423298736,0,,,,
Dog I think it's a nigga dyke I was wondering the same RT @thisisyoungdj: Is the person that sing 'No Flex Zone' a male or female?,0.4985186631819667,0,,,,
George Rockwell (2 of 3) Speech at Lynchberg Armo&#8230;: http://t.co/5LFXMdYU2g Proud to say my Uncle Kelly was at this speech in 63.,0.5015184923255589,0,,,,
@DarkLiquaNigga_ nigga grow some balls and concentrate pussy!!,0.5016561503957288,0,,,,
And I'm definitely top 3 at makin beats in the city but y'all niggers love your trap beats so y'all probably won't admit that,0.49816752760880106,1,,,,
"&#8220;@truuuchains: If you already out of school, fuck you I hate you and I hope you trip on the stage at graduation hoe&#8221;",0.5019730583767106,0,,,,
"think i should change ""&#9733;Doctor's Advocate&#9733;"" to ""cunt that goes mental"" #hmm",0.50197969374779,0,,,,
RT @lovesexdeath_: @TonyJRodriguez im queer as a three dollar bill and my first response to her coming out was sarcastic 'wow really? never&#8230;,0.4976795772582106,0,,,,
In my 25 years I've supported more niggas and bitches and they kids and well.. my gratitude has died.,0.5027642647905988,0,,,,
"@Morning_Joe Wonder how many US citizens have joined ISIS after listening to Joe Scarborough trash this ""black President?"" Good Job Joe!!",0.4966677687029187,0,,,,
Funnie watching my nig interview on ESPN,0.4959642831394899,0,,,,
RT @OutTheOrdinary1: @P0WERS_ @eGoaTizM @Blaztful powers U don't go outside ur tanks been on full for 2 months U anti social monkey,0.5044214999528783,0,,,,
"I can't fuck with hoe niggas, I can't trust these hoes niether.",0.4952236003186259,0,,,,
@sophhh_marie ugly emo trash go cut,0.4951326462683965,1,,,,
"#porn,#android,#iphone,#ipad,#sex,#xxx, | #Masturbation | A very hot black tranny is mastu http://t.co/OfGGMLXQAj",0.5052587039694335,0,,,,
"Here I go! Welcome to the titty show. Typa ass i see in a video. When I fuck, nut in you like a silly hoe. http://t.co/MsFzie1MAE",0.5059518322336691,0,,,,
"@NoInfidel33 now kindly fuck off, like you said you were..twice! you sound like a little bitch...bitching! 
FUCKIN STALKER!",0.49372945996025613,0,,,,
@GrizzboAdams @wyattnuckels this Friday at the c burg mall you gettin whipped like the bitches I fuck,0.4929538883635798,0,,,,
Ok this is funny... A proud liberal who wants to end racism calls Tim Scott an Uncle Tom Lolz lib idiots #tcot http://t.co/y6X6eagw20,0.4928093690431006,0,,,,
I sho do miss my Uncle Tom,0.5083190064140944,0,,,,
RT @oddfuckingtaco: https://t.co/nkCXCZwrXa my nigga really tried to save his bitch lol,0.5085456460867586,0,,,,
&#8220;@_CocaKoula: Oomf a fake bitch ass nigga point blank period. Smh&#8221; AWWWW SHITTTTTTT,0.5088514675363478,0,,,,
@slickvick47 @itstattoos it's not colored in... dumb dick,0.5088636989137462,0,,,,
RT @UFGatorFamily: Incase any hillbillies try to roast... &#128010;&#128010; http://t.co/LJ168KTccp,0.4911296777896353,0,,,,
Miley Cyrus just wants to hump things and smoke weed with her retarded ass.,0.490913813595082,0,,,,
Help me speed up the process of fucking your bitch..feel me?,0.5097138531937663,0,,,,
@MinuteManX1776 @TheyKnowNotWhat &lt;&lt; closet muzzie @MayberryJustin @AllForCountry @LilMissPrepper @ritzy_jewels @glinsan1,0.5097766178309577,0,,,,
"RT @bl0ndeB1tch_: Love really is blind, stupid cunt of a feeling.",0.49021675455075353,0,,,,
@Lunatic_times omg my mom did it on Christmas once if I hadn't been the hostess that year I would've slit her throat,0.49012532345396326,0,,,,
"RT @OneandOnlyTina: What I know:
You support killing babies, mock the handicapped, slept your way into Harvard then ditched your hubby &amp; ki&#8230;",0.509975575869984,0,,,,
@TheNudesGod can fucking a fat bitch be considered a threesome ?,0.4899790493031793,0,,,,
My mom's younger brothers gonna come disrespect my mom &amp; call her a bitch &amp; my cousins gonna tell my mom to STFU! Wth..,0.5103526889023241,0,,,,
worst thing a bitch can do &#8220;@loyalshawn: Bitches main reason for being in another nigga face is to get they nigga jealous . &#128078; Wack .&#8221;,0.4894419812666729,0,,,,
@KazAtta your welcome my nig #salute,0.48885037675933896,0,,,,
@TedNugent Why werent you so gung ho when you got drafted instead of shitting yourself? You seem like another Repcon Chicken hawk..,0.5111824544554902,0,,,,
RT @DestroTheNoble: I don't support that ya idiot. And if I'm a teabagger you're being teabagged. #OpenWide @nekolin @1SleepingGiant,0.5112648727551681,1,,,,
@Gorillaleo fuck your chicken sandwich ho!!!,0.5115989759496904,0,,,,
"RT @xochaton: you're a little bitch, and I'm straight up rude.",0.4881510552792609,0,,,,
Smh ma niggah,0.5122539101797124,0,,,,
"Lesbians all be like ""yo-ho and scissor me timbers!""",0.48762467515131047,0,,,,
Omg!!! You won't say it to my face! Stupid ass hoes talkin shit!!! Imma whoop her ass!!! *over dramatic teenage girls*,0.48751722586595403,1,,,,
RT @ChrisJustJoking: Its Halloween everyday for dykes,0.5126487265068272,0,,,,
"@xDavilunAx ew pussy buy a fucking xbone , u got dat Puppy muny",0.513749228353452,0,,,,
The most beautiful women be havin' the most retarded captions on their pics! Sh*t be extra dumb...,0.4859399610795376,0,,,,
"RT @MichaelJDelaney: @0beyYourMaster real ""lil""...bitch you short as fuck",0.5140854174881682,0,,,,
@SteezHOE this was my nigga in that bitch man!,0.48549127391188124,0,,,,
"If Ashton is trash then what does that make me! Come on guys someone like Ashton can't be trash, he makes too many people smile!!",0.48532340485550163,0,,,,
I just want to punch you in the throat when you get my order wrong stupid bitch at sonic,0.4847817918739033,1,,,,
RT @_SadisticBitch: I'll never understand how people can fake an entire relationship? I can't even fake a 'hello' to a bitch that I fucking&#8230;,0.4845929685082522,0,,,,
"RT @TheRoot: Don Lemon gets called an Uncle Tom, doesn't like it: http://t.co/eV4xgI5Pgc http://t.co/i6Xs8HCnrb",0.5155649026990751,0,,,,
"""fuck you you pussy ass hater go suck a dick and die quick"" - Someone, to me, in Youtube comments. I think we'd be good friends.",0.48443426991478566,1,,,,
My nigga calls fat bitches &#8221; porkers&#8221; lmao,0.4843387171040409,0,,,,
"RT @Heartlle: i don't like girls that've been around &#128564;, niggas really be cuffin' community pussy.",0.4842859738260964,0,,,,
@idochips honky tonk badonka ankh,0.4841769170032751,0,,,,
RT @caseytu88662466: Y these niggas on this hoe shit,0.5160525758632274,0,,,,
RT @charlieecai: Our taxi driver is fucking retarded.. He doesn't know how to get from grapevine to lewisville,0.4839215823091036,0,,,,
Stevie J my nigga &#128175;&#128175; bitch be on ten,0.5164824749601494,0,,,,
RT @_KJTheGreat: Four Brothers showed the bitch in a lot of niggas. I would've killed. I would've killed Victor Sweet if I was one of his l&#8230;,0.5168036633463104,0,,,,
"RT @bitchdicknigga: @Tronkitty bet nigger, I'm waiting for the car keys",0.5170233277955146,0,,,,
RT @Colinfreeze: ISIS Supporters in America: The Jihadis Next Door http://t.co/aiMV7GiB24 @mlnestel @vocativ http://t.co/ajUAU5YwIv,0.48231191746345686,0,,,,
"@SoftestMuffin @_tee13 @TorahBlaze at the end of the day, they call yo dumb ass monkey, picka'nanny hoe. But u luv them white devils",0.48211894920808923,1,,,,
"this bitch sounds like she's gettin raped by other.cats lmfaoo the.fuckkkk closing the window, whore cats",0.5180605241491463,0,,,,
Spongebob ass niccas fr,0.4814130982983293,0,,,,
"@mikecheck_123 try this one Mikey, none of that hick shit...http://youtu.be/Thls_tMuFkc",0.5186279249567413,0,,,,
triple nipple ass hoes!!,0.4812043175502863,0,,,,
